주소,인구,세대수,사업체수,카드매출액,wifi
제주시 연동,50137,19526,4988,6.909,3076786
제주시 노형동,43217,19336,4681,11.353,3126565
제주시 애월읍,56223,21026,4318,8.137,4843117
제주시 일도2동,36550,15563,2232,4.421,939748
제주시 한림읍,34684,13187,2173,3.349,2563285
제주시 아라동,25003,10204,2065,2.931,450801
제주시 조천읍,34321,13337,1909,2.99,1826291
서귀포시 대정읍,24718,10538,1688,2.959,1677427
서귀포시 동홍동,23094,9924,1655,2.081,729594
제주시 구좌읍,24163,8933,1651,1.008,1517329
제주시 화북동,16283,7670,1561,1.692,565136
제주시 이도1동,25391,9542,1516,1.65,1346005
서귀포시 성산읍,7989,7851,1510,1.717,1706470
제주시 삼도1동,17180,7753,1484,2.775,1306846
제주시 일도1동,14345,5952,1385,1.105,919731
서귀포시 중앙동,2993,1623,1329,1.585,1054688
서귀포시 표선면,3984,2124,1277,0.9135,79420
제주시 외도동,12824,5922,1140,1.763,882465
서귀포시 남원읍,21741,8167,1106,1.425,994026
제주시 삼도2동,19778,8438,1070,2.011,501055
제주시 용담2동,8662,4161,1025,2.088,1223869
서귀포시 안덕면,15673,6456,1021,8.26,1658664
제주시 도두동,12537,6033,966,2.808,1003790
제주시 오라동,3257,1412,952,1.048,141161
제주시 삼양동,14906,5565,924,1.842,300518
제주시 용담1동,25153,9273,857,1.554,675844
제주시 건입동,7610,3543,784,0.681,812415
서귀포시 중문동,9857,4235,767,1.624,1018933
서귀포시 천지동,11482,5155,721,2.192,1151592
서귀포시 대륜동,3657,1921,690,1.1525,1640001
제주시 한경면,14156,5844,688,2.157,1691605
서귀포시 정방동,9447,4657,637,0.815,296704
서귀포시 서홍동,2444,1342,587,0.9135,1640000
서귀포시 대천동,10697,4240,492,0.239,1196272
서귀포시 영천동,13930,6089,491,1.079,170659
서귀포시 예래동,5478,2430,457,1.153,502605
서귀포시 송산동,4414,1985,419,3.023,628036
제주시 우도면,5027,2088,363,2.4315,8907
서귀포시 효돈동,1892,999,278,0.466,156445
제주시 이호동,5396,2262,278,0.352,162734
제주시 봉개동,4654,1829,272,0.49,114543
제주시 추자면,4936,2094,257,0.736,411600
