name,value
연동,11.353
노형동,7.731
용담이동,7.56
애월읍,4.421
이도이동,3.745
서귀동,3.654
일도이동,3.349
도남동,3.164
조천읍,2.959
한림읍,2.931
안덕면,2.808
성산읍,2.775
색달동,2.62
삼도이동,2.088
대정읍,2.081
동홍동,2.016
남원읍,2.011
표선면,1.763
이도일동,1.717
중문동,1.711
구좌읍,1.692
건입동,1.624
일도일동,1.585
아라일동,1.504
법환동,1.339
외도일동,1.112
삼도일동,1.105
화북일동,1.074
강정동,1.039
오라이동,1.025
아라이동,0.988
토평동,0.866
한경면,0.815
도두일동,0.803
상효동,0.72
도련일동,0.719
용담삼동,0.7
용담일동,0.681
화북이동,0.576
서호동,0.566
삼양이동,0.537
서홍동,0.478
우도면,0.466
봉개동,0.444
오라일동,0.414
해안동,0.406
오라삼동,0.403
오등동,0.328
상예동,0.316
이호이동,0.31
회천동,0.29
대포동,0.273
호근동,0.252
하효동,0.251
도두이동,0.245
삼양일동,0.213
이호일동,0.18
회수동,0.123
내도동,0.122
추자면,0.121
영평동,0.121
외도이동,0.115
신효동,0.103
하예동,0.087
하원동,0.085
보목동,0.077
도평동,0.076
도련이동,0.061
월평동,0.049
도순동,0.035
삼양삼동,0.024
영남동,0.005
용강동,0.002
