지역,사업체수,세대수,인구,"교육기관(유치원,초중고)",카드매출액
제주시 이도2동,4988,"19,526",50137,9,6.909
제주시 연동,4681,"19,336",43217,10,11.353
제주시 노형동,4318,"21,026",56223,13,8.137
제주시 애월읍,2232,"15,563",36550,27,4.421
제주시 일도2동,2173,"13,187",34684,8,3.349
제주시 한림읍,2065,"10,204",25003,15,2.931
제주시 아라동,1909,"13,337",34321,7,2.99
제주시 조천읍,1688,"10,538",24718,16,2.959
서귀포시 대정읍,1655,"9,924",23094,15,2.081
서귀포시 동홍동,1651,"8,933",24163,7,1.008
제주시 구좌읍,1561,"7,670",16283,21,1.692
제주시 화북동,1516,"9,542",25391,12,1.65
제주시 이도1동,1510,"7,851","7,989",4,1.717
서귀포시 성산읍,1484,"7,753",17180,18,2.775
제주시 삼도1동,1385,"5,952",14345,2,1.105
제주시 일도1동,1329,"1,623",2993,0,1.585
서귀포시 중앙동,1277,"2,124",3984,0,0.9135
서귀포시 표선면,1140,5922,12824,11,1.763
제주시 외도동,1106,"8,167",21741,2,1.425
서귀포시 남원읍,1070,8438,19778,16,2.011
제주시 삼도2동,1025,"4,161",8662,6,2.088
제주시 용담2동,1021,6456,15673,4,8.26
서귀포시 안덕면,966,6033,12537,11,2.808
제주시 도두동,952,1412,3257,2,1.048
제주시 오라동,924,5565,14906,3,1.842
제주시 삼양동,857,9273,25153,2,1.554
제주시 용담1동,784,3543,7610,3,0.681
제주시 건입동,767,4235,9857,3,1.624
서귀포시 중문동,721,5155,11482,3,2.192
서귀포시 천지동,690,1921,3657,0,1.1525
서귀포시 대륜동,688,5844,14156,0,2.157
제주시 한경면,637,4657,9447,10,0.815
서귀포시 정방동,587,1342,2444,0,0.9135
서귀포시 서홍동,492,4240,10697,5,0.239
서귀포시 대천동,491,6089,13930,0,1.079
서귀포시 영천동,457,2430,5478,0,1.153
서귀포시 예래동,419,1985,4414,2,3.023
서귀포시 송산동,363,2088,5027,0,2.4315
제주시 우도면,278,999,1892,3,0.466
서귀포시 효돈동,278,2262,5396,3,0.352
제주시 이호동,272,1829,4654,0,0.49
제주시 봉개동,257,2094,4936,3,0.736
제주시 추자면,212,1049,2149,5,0.121
